keys,ja
WORD_EVE_G1S_LOVEEND,"はぁ……はぁ…………♡"
WORD_EVE_G3S_END___0,"すぅー……すぅー……"
WORD_EVE_G3S_WAKEUP1,"…………？"
WORD_EVE_G3S_WAKEUP2,"いっ…………え？"
WORD_EVE_G3S_PSTNM_0,"……っ!? ん～～～、んーーーー!?"
WORD_EVE_G3S_PSTNH_0,"んんっ!? んぐっ、ふっ!!?"
WORD_EVE_G3S_FAST__0,"んっ、むっ、んんんんん……!!!"
WORD_EVE_G3S_EJAC__0,"ん……!?"
WORD_EVE_G3S_EJAC__1,"んっ!!?"
WORD_EVE_G3S_FEND__0,"ふーっ…………ふーーっ…………"
WORD_EVE_G3S_LOVETD1,"うー…………？"
WORD_EVE_G3S_LOVETW1,"う……？"
WORD_EVE_G3S_LOVEFST,"あ…………う…………"
WORD_EVE_G3S_LOVEEJC,"……っ♡"
WORD_EVE_G3S_LOVEEND,"……………………"
WORD_EVE_G4S_END___0,"すぅー……すぅー……"
WORD_EVE_G4S_WAKEUP1,"…………？"
WORD_EVE_G4S_WAKEUP2,"いだっ!? ……へ？"
WORD_EVE_G4S_PSTNM_0,"んぐッ!? ム、ムム、ムムゥーー!!"
WORD_EVE_G4S_PSTNH_0,"ムムゥ!! ム……ムムゥゥゥゥ………!!"
WORD_EVE_G4S_FAST__0,"ム……ム…………ムムゥゥゥゥゥ……"
WORD_EVE_G4S_EJAC__0,"ムム……ム……"
WORD_EVE_G4S_EJAC__1,"ムッ!!?"
WORD_EVE_G4S_FEND__0,"…………"
WORD_EVE_G4S_FEND__1,"ママ……ママぁぁぁぁあ……!!!"
WORD_EVE_G4S_LOVETD1,"はぁぁ……♡"
WORD_EVE_G4S_LOVETW1,"ん……!!"
WORD_EVE_G4S_LOVEFST,"へ…………へへ…………"
WORD_EVE_G4S_LOVEEJC,"お…………？"
WORD_EVE_G4S_LOVEEND,"はぇー…………？"
WORD_EVE_OP__100_000,"──……"
WORD_EVE_OP__100_001,"……俺の部屋、しかも『退去日の朝』だ"
WORD_EVE_OP__100_002,"ということは……無事に[C_G]戻って[/C]──"
WORD_EVE_OP__CM1_000,"ふと、[C_D]右手に何かが当たる[/C]のを感じた。"
WORD_EVE_OP__CM1_001,"その『正体』を確かめると──"
WORD_EVE_OP__CM1_002,"1つも埋まっていない、[C_Y]『さよならのチェックリスト』[/C]があった。"
WORD_EVE_OP__101_000,"…………"
WORD_EVE_OP__101_001,"……間違いない、[C_G]『戻ってきた』[/C]んだ"
WORD_EVE_OP__102_000,"[C_D]俺の『死』をトリガー[/C]として、その日の朝に[C_Y]『戻る』[/C]──"
WORD_EVE_OP__102_001,"──[C_D][shake]『死に戻り』[/shake][/C]で……!!"
WORD_EVE_OP__102_002,"俺の隣の部屋には、若い夫婦と[C_Y]4人の姉妹[/C]が住んでいる。"
WORD_EVE_OP__103_000,"お料理が得意で、家族から慕われている長女[N_G1]ちゃん。"
WORD_EVE_OP__104_000,"オトナ顔負けの怪力を持つ、やんちゃな次女[N_G2]ちゃん。"
WORD_EVE_OP__105_000,"身体が弱いのに、いつも妹と遊んであげている三女[N_G3]ちゃん。"
WORD_EVE_OP__106_000,"そして──そんな元気いっぱいの末っ子[N_G4]ちゃん。"
WORD_EVE_OP__107_000,"日々の業務で、身も心も壊れそうになる中──"
WORD_EVE_OP__107_001,"隣の壁から聞こえる4人の声だけが、[C_Y]唯一の『生き甲斐』[/C]だった。"
WORD_EVE_OP__108_000,"ところが──"
WORD_EVE_OP__108_001,"来週から[C_D]『転勤』[/C]、か……"
WORD_EVE_OP__109_000,"[C_Y]約5年[/C]──場合によっては、それ以上の期間。"
WORD_EVE_OP__109_001,"[C_D]小学生だった子が、高校生になるぐらいの長さ[/C]だ。"
WORD_EVE_OP__109_002,"それに、数年後に あの部屋があるとは限らないし……"
WORD_EVE_OP__109_003,"[shake]うぅ……[C_Y]そろそろ限界[/C]だ……[/shake]"
WORD_EVE_OP__110_000,"……この優良物件とも、来週でお別れか……"
WORD_EVE_OP__110_001,"…………ん？"
WORD_EVE_OP__112_000,"……これは……[C_G]『合鍵』[/C]？"
WORD_EVE_OP__112_001,"[C_D]姉妹の誰かが落とした[/C]のか？ 届けないと──"
WORD_EVE_OP__112_002,"──…………"
WORD_EVE_OP__112_003,"部屋に戻り、直ぐにペンを走らせた。"
WORD_EVE_OP__112_004,"……………………"
WORD_EVE_OP__112_005,"そして最後に『写真』を切り貼りして……"
WORD_EVE_OP__114_000,"……ふぅ、こんなものか"
WORD_EVE_OP__114_001,"[C_Y]『さよならのチェックリスト』[/C]"
WORD_EVE_OP__114_002,"この部屋から「さよなら」する前に、[C_P]ヤりたいこと[/C]をリストアップした紙だ。"
WORD_EVE_OP__115_000,"今まで、[C_Y]たった1枚の壁[/C]が[C_D]邪魔[/C]だった。"
WORD_EVE_OP__116_000,"聞こえてくるのは微かな声だけ。穴を開けようかと考えたこともあった。"
WORD_EVE_OP__116_001,"[C_Y]彼女たちの声[/C]と[C_G]写真[/C]をネタに、自分を[C_P]慰める[/C]しかなかったのだ。"
WORD_EVE_OP__116_002,"だけど、この[C_G]『合鍵』[/C]があれば関係ない!! 壁の向こう側にも行ける!!!"
WORD_EVE_OP__117_000,"きっと、これは──[C_D]がんばった自分へのご褒美[/C]なんだ!!"
WORD_EVE_OP__117_001,"最後に少しぐらい[C_P]楽しい思い[/C]をしてもいいと……[shake]そうに違いない!!![/shake]"
WORD_EVE_OP__117_002,"[shake]ああ……神様、ありがとう……ありがとう……!!![/shake]"
WORD_EVE_OP__117_003,"きっと、[C_Y]「そろそろ限界」[/C]なんかではなかった。"
WORD_EVE_OP__117_004,"俺は──[C_D]「とっくの昔に壊れていた」[/C]んだ。"
WORD_EVE_OP__200_000,"──しかし。"
WORD_EVE_OP__200_001,"[shake]はぁ……はぁッ……!!![/shake]"
WORD_EVE_OP__200_002,"どこいった!? くそっ、逃がすか……!!!"
WORD_EVE_OP__200_003,"[shake]……ッ、はぁっ……はぁ……!!![/shake]"
WORD_EVE_OP__201_000,"複数の[C_D]『誤算』[/C]が重なり、追われる身となってしまった。"
WORD_EVE_OP__202_000,"最初の『誤算』は──[C_D]踏み込むタイミングが分からなかった[/C]こと。"
WORD_EVE_OP__202_001,"両親はもちろん、次女の[N_G2]ちゃんにも力で適うとは思えない。"
WORD_EVE_OP__202_002,"[C_D]一人の機会を狙う[/C]のが理想だが、留守かどうかを確認するのも一苦労だ。"
WORD_EVE_OP__203_000,"2つ目の誤算は、そのまま[C_Y]退去する日まで粘ってしまった[/C]こと。"
WORD_EVE_OP__203_001,"さらに、前日に[C_D]荷物も財布も全部送った[/C]せいで、持ち物が1つもない。"
WORD_EVE_OP__203_002,"何をするにしても道具は必要……[C_G]現地で調達する[/C]しかなくなった。"
WORD_EVE_OP__204_000,"何より、最大の誤算は──思い切って侵入したら[C_D]家族が帰ってきたこと[/C]だ。"
WORD_EVE_OP__204_001,"父親にボコボコにされ、なんとか逃げて……このザマである。"
WORD_EVE_OP__205_000,"もう、あそこには戻れない。逃げ切ることなんて、できる訳がない。"
WORD_EVE_OP__205_001,"そんなリスクを取っても、[shake][C_P]ヤりたいこと[/C]が[C_D]何ひとつできなかった……!![/C][/shake]"
WORD_EVE_OP__CM2_000,"…………やり直し……たい……"
WORD_EVE_OP__CM2_001,"あんなに憎かった会社すら、今は戻りたい気持ちでいっぱいだ。"
WORD_EVE_OP__CM2_002,"やり直したい、[shake]やり直したい、[C_D]今日をやり直したい……!![/C][/shake]"
WORD_EVE_OP__CM2_003,"[C_D][shake]やり直したいやり直したいやり直したいやり直したいやり直したい[/shake][/C]"
WORD_EVE_OP__CM2_004,"ふと、頭上を見上げると[C_Y]『流れ星』[/C]が目に入った。"
WORD_EVE_OP__CM2_005,"あ……"
WORD_EVE_OP__207_000,"消えそうな[C_Y]『流れ星』[/C]に縋(すが)るように、強く、強く祈った。"
WORD_EVE_OP__207_001,"神様……どうか、どうか、またチャンスを……"
WORD_EVE_OP__207_002,"…………………………"
WORD_EVE_OP__207_003,"…………いや……そうじゃない"
WORD_EVE_OP__CM3_000,"生まれ……変わりたい……"
WORD_EVE_OP__CM3_001,"もう一度、[C_G]生まれ変わって[/C]……[C_D]人生を、やり直したい……!![/C]"
WORD_EVE_OP__CM3_002,"お願いだ、[C_Y]『流れ星』[/C]!! [shake]どうか、この願いを…………!![/shake]"
WORD_EVE_OP__208_000,"いた!!! あそこだ……!!!"
WORD_EVE_OP__209_000,"くっ……!!!"
WORD_EVE_OP__209_001,"おいこら、待て!!! クソ野郎……!!!"
WORD_EVE_OP__210_000,"[shake]はぁッ、はぁ…………くそ……くそッ!![/shake]"
WORD_EVE_OP__210_001,"[shake]俺は、こんなところで……捕まるわけには……!![/shake]"
WORD_EVE_OP__211_000,"[shake]きゃああああああああああああ!!![/shake]"
WORD_EVE_OP__211_001,"人が……人が急に飛び出してきたぞ!?"
WORD_EVE_OP__212_000,"[shake]…………あぁ……俺は、[C_D]死ぬ[/C]のか……[/shake]"
WORD_EVE_OP__212_001,"[shake]……生まれ変わっ……たら……[/shake]"
WORD_EVE_OP__212_002,"[shake][C_D]今度、こそ……ヤりたいこと……を…………!![/C][/shake]"
WORD_EVE_OP__CM4_000,"──………………"
WORD_EVE_OP__CM4_001,"……[shake]……!?[/shake]"
WORD_EVE_OP__CM4_002,"…………ぁ……[shake]はぁっ？？[/shake]"
WORD_EVE_OP__CM4_003,"ここは……[C_D]俺の部屋[/C]？ さっきまで外にいたはずなのに……！？"
WORD_EVE_OP__300_000,"[C_D]激痛[/C]も[C_G]消えている[/C]…………夢、だったのか？"
WORD_EVE_OP__300_001,"いや、それにしては、妙にリアルな──"
WORD_EVE_OP__302_000,"…………[C_G]「生まれ変わって、人生をやり直す」[/C]……？"
WORD_EVE_OP__302_001,"…………まさか……"
WORD_EVE_OP__302_002,"まさかこれは──[shake][C_Y]『死に戻り』[/C]……!?[/shake]"
WORD_EVE_OP__401_000,"今回のループで重要なことは、[N_G3]ちゃんの話だ。"
WORD_EVE_OP__402_000,"[N_G1]ちゃんは、[C_Y]10:00[/C]に1人で料理をしている。"
WORD_EVE_OP__403_000,"[N_G2]ちゃんは、[C_Y]14:30[/C]に1人で昼寝……そして、"
WORD_EVE_OP__404_000,"[N_G3]ちゃんは、[C_Y]20:30[/C]に行けば犯すことが可能だ。"
WORD_EVE_OP__405_000,"[N_G4]ちゃんは[C_D]不明[/C]だが……いずれ、分かる時が来るかもしれない。"
WORD_EVE_OP__406_000,"まさか、『流れ星』が[C_Y]『死に戻り』[/C]の力を与えてくれるとは……。"
WORD_EVE_OP__406_001,"おそらく、[C_G]ループすればその日の朝に戻る仕組み[/C]なのだろう。"
WORD_EVE_OP__406_002,"[C_D]彼女たちを犯せる[/C]のは、本日[C_G]3月28日[/C]しかない……[shake]腹をくくるんだ！[/shake]"
WORD_EVE_ED__101_000,"この力に目覚めてから、何度ループしただろうか。"
WORD_EVE_ED__102_000,"──3月29日、か"
WORD_EVE_ED__102_001,"もうすぐ、日付が変わる。"
WORD_EVE_ED__102_002,"生きて日を跨ぐのも久しぶりだ。"
WORD_EVE_ED__102_003,"しかし、歩いて目的地に向かうのも、意外と悪くないな"
WORD_EVE_ED__102_004,"荷物は全て、引っ越しと一緒に送ってしまったのだ。"
WORD_EVE_ED__102_005,"力に目覚める前は、すべてが不幸な出来事だと思っていたが……"
WORD_EVE_ED__102_006,"人生、何が楽しみになるのか分からないものである。"
WORD_EVE_ED__102_007,"……………………"
WORD_EVE_ED__103_000,"日記の内容から推測するに、明日は[C_G]お隣さんの『結婚記念日』[/C]。"
WORD_EVE_ED__103_001,"つまり、明日は[C_D]両親が不在[/C]だったはずだ。"
WORD_EVE_ED__103_002,"どうせなら、退去を粘って3月29日にループしておけば……"
WORD_EVE_ED__103_003,"……いや、別の家族が面倒を見ているかもしれない"
WORD_EVE_ED__103_004,"[C_D]死に損ねるリスク[/C]の方が高い。もう、あそこに悔いはないさ"
WORD_EVE_ED__104_000,"それに……[C_Y]『さよならのチェックリスト』[/C]はすべて埋まったんだ"
WORD_EVE_ED__104_001,"[C_G]『目的達成』[/C]のために、何度も[C_D]死ぬような思い[/C]をした。"
WORD_EVE_ED__104_002,"俺の人生、これほど真剣に取り組んだことがなかったが……"
WORD_EVE_ED__104_003,"……たまには、こういうのも良いものだな"
WORD_EVE_ED__105_000,"それもこれも、あの[C_Y]『流れ星』[/C]のおかげだな！"
WORD_EVE_ED__105_001,"[C_G]『流れ星』に3回願い事を言うと叶う[/C]という迷信・ジンクス。"
WORD_EVE_ED__105_002,"まさか、あれが本当だったなんてなぁ……"
WORD_EVE_ED__105_003,"しかし、あれから何度、3月28日を繰り返して夜空を見上げても──"
WORD_EVE_ED__105_004,"あの[C_Y]『流れ星』[/C]を再び目にすることはない……か。残念"
WORD_EVE_ED__105_005,"だが、この[C_Y]『死に戻り』[/C]を利用すれば、俺の人生はバラ色だな！"
WORD_EVE_ED__105_006,"いまは存在しない『3月28日』のおかげで、俺の人生は思うがままになった。"
WORD_EVE_ED__105_007,"きっと今なら、新天地でもやっていけるはずだ。"
WORD_EVE_ED__105_008,"神様って本当に見てるんだなぁ。本当に、ありが──"
WORD_EVE_ED__202_000,"だが、待ってほしい。俺は今回、[C_D][shake]死んでいない……!!![/shake][/C]"
WORD_EVE_ED__202_001,"[shake]そんな、バカな!?[/shake] だって俺は[C_Y]『流れ星』[/C]に──……"
WORD_EVE_ED__204_000,"………………"
WORD_EVE_ED__204_001,"言ってない"
WORD_EVE_ED__204_002,"[C_Y]『流れ星』[/C]に[C_D]3回[/C]……願い事を[shake][C_D]言ってない……!?[/C][/shake]"
WORD_EVE_ED__204_003,"だとしたら、なんだこのループは!? 俺が、いつ──"
WORD_EVE_ED__204_004,"…………あ"
WORD_EVE_ED__207_000,"…………「[C_D]今日[/C]を……やり直したい」……？"
WORD_EVE_ED__207_001,"…………まさか……"
WORD_EVE_ED__207_002,"まさか……俺の、[shake][C_D]叶った『願い』[/C]って……!?[/shake]"
WORD_EVE_ED__208_000,"[C_D][shake]1つも埋まっていない、『さよならのチェックリスト』があった。[/shake][/C]"
